Hours,Score
3.49,16.32
8.75,43.45
3.82,18.95
6.95,33.18
6.7,36.03
2.28,10.28
5.56,31.75
2.35,14.42
6.47,34.63
8.71,43.58
3.46,20.46
4.95,24.47
6.11,33.03
7.94,39.22
7.01,35.21
7.46,40.48
6.1,34.65
7.07,33.06
1.38,7.69
4.4,22.99
5.16,30.37
8.13,41.17
4.65,27.02
3.72,22.23
7.79,36.81
5.57,25.61
5.12,24.46
7.31,40.34
5.87,28.28
5.66,28.32
2.58,12.68
1.75,12.8
4.99,23.06
8.31,44.72
10.0,53.27
9.04,41.74
3.07,15.0
6.5,27.6
2.83,13.8
6.53,31.59
2.9,15.07
5.26,27.86
6.24,29.78
4.88,28.23
5.96,31.57
4.65,22.87
3.69,20.3
9.11,40.99
2.46,8.9
3.45,20.98
4.41,23.81
4.2,23.77
6.06,32.26
7.33,38.55
3.01,16.12
4.76,27.16
2.91,15.62
2.19,7.7
1.77,10.6
2.6,17.82
6.11,26.1
4.05,17.86
1.33,6.87
8.24,40.78
3.34,17.28
8.79,40.25
7.7,43.09
4.26,17.89
2.38,14.52
6.82,29.82
1.7,11.72
7.13,34.31
3.28,12.95
8.68,40.47
2.47,14.99
4.57,25.91
3.5,16.06
2.49,12.34
4.72,23.6
3.39,19.61
